question,answer
Who is Charles A. Buckley?,"In an apparent effort to head off such a rival primary slate , Mr. Wagner talked by telephone yesterday with Representative Charles A. Buckley , the Bronx Democratic leader , and with Joseph T. Sharkey , the Brooklyn Democratic leader ."
What is Bronx Democratic?,"In an apparent effort to head off such a rival primary slate , Mr. Wagner talked by telephone yesterday with Representative Charles A. Buckley , the Bronx Democratic leader , and with Joseph T. Sharkey , the Brooklyn Democratic leader ."
Who is Joseph T. Sharkey?,"In an apparent effort to head off such a rival primary slate , Mr. Wagner talked by telephone yesterday with Representative Charles A. Buckley , the Bronx Democratic leader , and with Joseph T. Sharkey , the Brooklyn Democratic leader ."
What is Brooklyn?,"In an apparent effort to head off such a rival primary slate , Mr. Wagner talked by telephone yesterday with Representative Charles A. Buckley , the Bronx Democratic leader , and with Joseph T. Sharkey , the Brooklyn Democratic leader ."
What is Democratic?,"In an apparent effort to head off such a rival primary slate , Mr. Wagner talked by telephone yesterday with Representative Charles A. Buckley , the Bronx Democratic leader , and with Joseph T. Sharkey , the Brooklyn Democratic leader ."
Who is Buckley?,Mayor visits Buckley
Who is Carmine G. De Sapio?,"As usual , he made no attempt to get in touch with Carmine G. De Sapio , the Manhattan leader ."
What is Manhattan?,"As usual , he made no attempt to get in touch with Carmine G. De Sapio , the Manhattan leader ."
Who is Mr. De Sapio?,He is publicly on record as believing Mr. De Sapio should be replaced for the good of the party .
Who is Mr. Buckley?,Last night the Mayor visited Mr. Buckley at the Bronx leader's home for a discussion of the situation .
What is Bronx?,Last night the Mayor visited Mr. Buckley at the Bronx leader's home for a discussion of the situation .
Who is Mr. Buckley?,Apparently he believes Mr. Buckley holds the key to the Democratic organization's acceptance of his choices for running mates without a struggle .
What is Democratic?,Apparently he believes Mr. Buckley holds the key to the Democratic organization's acceptance of his choices for running mates without a struggle .
Who is Mr. Buckley?,"In talks with Mr. Buckley last week in Washington , the Mayor apparently received the Bronx leader's assent to dropping Controller Lawrence E. Gerosa , who lives in the Bronx , from this year's ticket ."
What is Washington?,"In talks with Mr. Buckley last week in Washington , the Mayor apparently received the Bronx leader's assent to dropping Controller Lawrence E. Gerosa , who lives in the Bronx , from this year's ticket ."
What is Bronx?,"In talks with Mr. Buckley last week in Washington , the Mayor apparently received the Bronx leader's assent to dropping Controller Lawrence E. Gerosa , who lives in the Bronx , from this year's ticket ."
Who is Controller Lawrence?,"In talks with Mr. Buckley last week in Washington , the Mayor apparently received the Bronx leader's assent to dropping Controller Lawrence E. Gerosa , who lives in the Bronx , from this year's ticket ."
What is Gerosa?,"In talks with Mr. Buckley last week in Washington , the Mayor apparently received the Bronx leader's assent to dropping Controller Lawrence E. Gerosa , who lives in the Bronx , from this year's ticket ."
Who is Mr. Buckley?,But Mr. Buckley seems to have assumed he would be given the right to pick Mr. Gerosa's successor .
Who is Mr. Gerosa?,But Mr. Buckley seems to have assumed he would be given the right to pick Mr. Gerosa's successor .
What is Screvane?,Screvane and Beame hailed
Who is Beame?,Screvane and Beame hailed
Who is Mr. Screvane?,"The Mayor declined in two interviews with reporters yesterday to confirm or deny the reports that he had decided to run and wanted Mr. Screvane , who lives in Queens , to replace Abe Stark , the incumbent , as the candidate for President of the City Council and Mr. Beame , who lives in Brooklyn , to replace Mr. Gerosa as the candidate for Controller ."
What is Queens?,"The Mayor declined in two interviews with reporters yesterday to confirm or deny the reports that he had decided to run and wanted Mr. Screvane , who lives in Queens , to replace Abe Stark , the incumbent , as the candidate for President of the City Council and Mr. Beame , who lives in Brooklyn , to replace Mr. Gerosa as the candidate for Controller ."
Who is Abe Stark?,"The Mayor declined in two interviews with reporters yesterday to confirm or deny the reports that he had decided to run and wanted Mr. Screvane , who lives in Queens , to replace Abe Stark , the incumbent , as the candidate for President of the City Council and Mr. Beame , who lives in Brooklyn , to replace Mr. Gerosa as the candidate for Controller ."
What is City Council?,"The Mayor declined in two interviews with reporters yesterday to confirm or deny the reports that he had decided to run and wanted Mr. Screvane , who lives in Queens , to replace Abe Stark , the incumbent , as the candidate for President of the City Council and Mr. Beame , who lives in Brooklyn , to replace Mr. Gerosa as the candidate for Controller ."
Who is Mr. Beame?,"The Mayor declined in two interviews with reporters yesterday to confirm or deny the reports that he had decided to run and wanted Mr. Screvane , who lives in Queens , to replace Abe Stark , the incumbent , as the candidate for President of the City Council and Mr. Beame , who lives in Brooklyn , to replace Mr. Gerosa as the candidate for Controller ."
What is Brooklyn?,"The Mayor declined in two interviews with reporters yesterday to confirm or deny the reports that he had decided to run and wanted Mr. Screvane , who lives in Queens , to replace Abe Stark , the incumbent , as the candidate for President of the City Council and Mr. Beame , who lives in Brooklyn , to replace Mr. Gerosa as the candidate for Controller ."
Who is Mr. Gerosa?,"The Mayor declined in two interviews with reporters yesterday to confirm or deny the reports that he had decided to run and wanted Mr. Screvane , who lives in Queens , to replace Abe Stark , the incumbent , as the candidate for President of the City Council and Mr. Beame , who lives in Brooklyn , to replace Mr. Gerosa as the candidate for Controller ."
What is Controller?,"The Mayor declined in two interviews with reporters yesterday to confirm or deny the reports that he had decided to run and wanted Mr. Screvane , who lives in Queens , to replace Abe Stark , the incumbent , as the candidate for President of the City Council and Mr. Beame , who lives in Brooklyn , to replace Mr. Gerosa as the candidate for Controller ."
What is United Irish Counties Feis?,The Mayor spoke yesterday at the United Irish Counties Feis on the Hunter College Campus in the Bronx .
What is Hunter College Campus?,The Mayor spoke yesterday at the United Irish Counties Feis on the Hunter College Campus in the Bronx .
What is Bronx?,The Mayor spoke yesterday at the United Irish Counties Feis on the Hunter College Campus in the Bronx .
What is New York Times?,"After his speech , reporters asked him about the report of his political intentions , published in yesterday's New York Times ."
What is Boston?,"Boston , June 16"
What is Massachusetts?,-- A wave of public resentment against corruption in government is rising in Massachusetts .
Who is See Joe?,"`` It's ' See Joe , see Jim ' '' , he says ."
Who is Jim?,"`` It's ' See Joe , see Jim ' '' , he says ."
What is Corruption?,"Corruption is hardly a recent development in the city and state that were widely identified as the locale of Edwin O'Connor's novel , `` The Last Hurrah '' ."
Who is Edwin O'Connor?,"Corruption is hardly a recent development in the city and state that were widely identified as the locale of Edwin O'Connor's novel , `` The Last Hurrah '' ."
What is Graft?,Graft in the construction of highways and other public works has brought on state and Federal investigations .
What is Federal?,Graft in the construction of highways and other public works has brought on state and Federal investigations .
Who is Kennedy?,And the election of President Kennedy has attracted new attention to the ethical climate of his home state .
What is Boston?,"A reader of the Boston newspapers can hardly escape the impression that petty chicanery , or worse , is the norm in Massachusetts public life ."
What is Massachusetts?,"A reader of the Boston newspapers can hardly escape the impression that petty chicanery , or worse , is the norm in Massachusetts public life ."
Who is Public Works Department?,"The state Public Works Department is accused of having spent $8,555 to build a private beach for a state judge on his waterfront property ."
What is Washington?,"Washington , June 18"
What is Congress?,-- Congress starts another week tomorrow with sharply contrasting forecasts for the two chambers .
What is Senate?,"In the Senate , several bills are expected to pass without any major conflict or opposition ."
What is House?,"In the House , the Southern-Republican coalition is expected to make another major stand in opposition to the Administration's housing bill , while more jockeying is expected in an attempt to advance the aid-to-education bill ."
What is Administration?,"In the House , the Southern-Republican coalition is expected to make another major stand in opposition to the Administration's housing bill , while more jockeying is expected in an attempt to advance the aid-to-education bill ."
What is House Rules Committee?,The housing bill is now in the House Rules Committee .
Who is James W. Trimble?,"The panel's action depends on the return of Representative James W. Trimble , Democrat of Arkansas , who has been siding with Speaker Sam Rayburn's forces in the Rules Committee in moving bills to the floor ."
What is Arkansas?,"The panel's action depends on the return of Representative James W. Trimble , Democrat of Arkansas , who has been siding with Speaker Sam Rayburn's forces in the Rules Committee in moving bills to the floor ."
Who is Speaker Sam Rayburn?,"The panel's action depends on the return of Representative James W. Trimble , Democrat of Arkansas , who has been siding with Speaker Sam Rayburn's forces in the Rules Committee in moving bills to the floor ."
What is Rules Committee?,"The panel's action depends on the return of Representative James W. Trimble , Democrat of Arkansas , who has been siding with Speaker Sam Rayburn's forces in the Rules Committee in moving bills to the floor ."
Who is Mr.?,Mr. Trimble has been in the hospital but is expected back Tuesday .
Who is Trimble?,Mr. Trimble has been in the hospital but is expected back Tuesday .
What is Leadership?,Leadership is hopeful
What is Southern?,The housing bill is expected to encounter strong opposition by the coalition of Southern Democrats and conservative Republicans .
What is Democratic?,"The Democratic leadership , however , hopes to pass it sometime this week ."
What is Senate?,"The $6,100,000,000 measure , which was passed last Monday by the Senate , provides for forty-year mortgages at low down-payments for moderate-income families ."
What is Rules Committee?,"The education bill appears to be temporarily stalled in the Rules Committee , where two Northern Democratic members who usually vote with the Administration are balking because of the religious controversy ."
What is Northern?,"The education bill appears to be temporarily stalled in the Rules Committee , where two Northern Democratic members who usually vote with the Administration are balking because of the religious controversy ."
What is Democratic?,"The education bill appears to be temporarily stalled in the Rules Committee , where two Northern Democratic members who usually vote with the Administration are balking because of the religious controversy ."
What is Administration?,"The education bill appears to be temporarily stalled in the Rules Committee , where two Northern Democratic members who usually vote with the Administration are balking because of the religious controversy ."
Who is James J. Delaney?,They are James J. Delaney of Queens and Thomas P. O'Neill Jr. of Massachusetts .
What is Queens?,They are James J. Delaney of Queens and Thomas P. O'Neill Jr. of Massachusetts .
Who is Thomas P.?,They are James J. Delaney of Queens and Thomas P. O'Neill Jr. of Massachusetts .
What is Massachusetts?,They are James J. Delaney of Queens and Thomas P. O'Neill Jr. of Massachusetts .
What is National Defense?,What could rescue the bill would be some quick progress on a bill amending the National Defense Education Act of 1958 .
Who is Mr.?,Mr. Delaney and Mr. O'Neill are not willing to vote on the public-school measure until the defense education bill clears the House Education and Labor Committee .
What is Delaney?,Mr. Delaney and Mr. O'Neill are not willing to vote on the public-school measure until the defense education bill clears the House Education and Labor Committee .
What is House Education?,Mr. Delaney and Mr. O'Neill are not willing to vote on the public-school measure until the defense education bill clears the House Education and Labor Committee .
What is Labor Committee?,Mr. Delaney and Mr. O'Neill are not willing to vote on the public-school measure until the defense education bill clears the House Education and Labor Committee .
What is Congressional?,"In the $40,000,000 budget that has been submitted for Congressional approval , $26,000,000 would be spent through universities and private voluntary agencies ."
What is Twelve?,"Twelve projects proposed by private groups are at the contract-negotiation stage , Gordon Boyce , director of relations with the voluntary agencies , said in a Washington interview ."
Who is Gordon Boyce?,"Twelve projects proposed by private groups are at the contract-negotiation stage , Gordon Boyce , director of relations with the voluntary agencies , said in a Washington interview ."
What is Washington?,"Twelve projects proposed by private groups are at the contract-negotiation stage , Gordon Boyce , director of relations with the voluntary agencies , said in a Washington interview ."
What is Africa?,"They will be for teaching , agriculture and community development in Southeast Asia , Africa , the Middle East and Latin America ."
What is Middle East?,"They will be for teaching , agriculture and community development in Southeast Asia , Africa , the Middle East and Latin America ."
Who is Latin America?,"They will be for teaching , agriculture and community development in Southeast Asia , Africa , the Middle East and Latin America ."
What is Question?,Question raised
What is Peace Corps?,"Interviews with several church leaders have disclosed that this development has raised the question whether the Peace Corps will be able to prevent confusion for church and state over methods , means and goals ."
What is Ghana?,Last month in Ghana an American missionary discovered when he came to pay his hotel bill that the usual rate had been doubled .
What is American?,Last month in Ghana an American missionary discovered when he came to pay his hotel bill that the usual rate had been doubled .
What is American?,"`` I don't work for the Government '' , the American said ."
Who is Peace Corps?,Can religious agencies use Government funds and Peace Corps personnel in their projects and still preserve the constitutional requirement on separation of church and state ? ?
Who is Sargent Shriver Jr.?,"R. Sargent Shriver Jr. , director of the corps , is certain that they can ."
Who is Peace Corps?,"No religious group , he declared in an interview , will receive Peace Corps funds unless it forswears all proselytizing on the project it proposes ."
What is Moscow?,"Moscow , June 18"
Who is Sukarno?,"-- At a gay party in the Kremlin for President Sukarno of Indonesia , Premier Khrushchev pulled out his pockets and said , beaming : `` Look , he took everything I had '' ! !"
What is Indonesia?,"-- At a gay party in the Kremlin for President Sukarno of Indonesia , Premier Khrushchev pulled out his pockets and said , beaming : `` Look , he took everything I had '' ! !"
Who is Premier Khrushchev?,"-- At a gay party in the Kremlin for President Sukarno of Indonesia , Premier Khrushchev pulled out his pockets and said , beaming : `` Look , he took everything I had '' ! !"
Who is Mr.?,Mr. Khrushchev was jesting in the expansive mood of the successful banker .
Who is Khrushchev?,Mr. Khrushchev was jesting in the expansive mood of the successful banker .
What is Indonesia?,"Indonesia is one of the twenty under-developed countries of Asia , Africa and Latin America that are receiving Soviet aid ."
What is Asia?,"Indonesia is one of the twenty under-developed countries of Asia , Africa and Latin America that are receiving Soviet aid ."
Who is Africa?,"Indonesia is one of the twenty under-developed countries of Asia , Africa and Latin America that are receiving Soviet aid ."
Who is Latin America?,"Indonesia is one of the twenty under-developed countries of Asia , Africa and Latin America that are receiving Soviet aid ."
What is Soviet?,"Indonesia is one of the twenty under-developed countries of Asia , Africa and Latin America that are receiving Soviet aid ."
What is Soviet Union?,"The Soviet Union and other members of the Communist bloc are rapidly expanding their economic , technical and military assistance to the uncommitted nations ."
What is Communist?,"The Soviet Union and other members of the Communist bloc are rapidly expanding their economic , technical and military assistance to the uncommitted nations ."
What is Communist?,"The Communist countries allocated more than $1,000,000,000 in economic aid alone last year , according to Western estimates ."
What is Western?,"The Communist countries allocated more than $1,000,000,000 in economic aid alone last year , according to Western estimates ."
What is Communist?,This was the biggest annual outlay since the Communist program for the under-developed countries made its modest beginning in 1954 .
What is Communist?,"In 1960 more than 6,000 Communist technicians were present in those countries ."
What is United?,"United Nations , N. Y. , June 18"
What is Nations?,"United Nations , N. Y. , June 18"
What is United Nations?,-- A committee of experts has recommended that a country's population be considered in the distribution of professional posts at the United Nations .
What is Soviet Union?,This was disclosed today by a responsible source amid intensified efforts by the Soviet Union to gain a greater role in the staff and operation of the United Nations .
What is United Nations?,This was disclosed today by a responsible source amid intensified efforts by the Soviet Union to gain a greater role in the staff and operation of the United Nations .
What is European?,"One effect of the proposal , which puts a premium on population instead of economic strength , as in the past , would be to take jobs from European nations and give more to such countries as India ."
What is India?,"One effect of the proposal , which puts a premium on population instead of economic strength , as in the past , would be to take jobs from European nations and give more to such countries as India ."
What is India?,"India is the most populous United Nations member with more than 400,000,000 inhabitants ."
What is United Nations?,"India is the most populous United Nations member with more than 400,000,000 inhabitants ."
What is Secretariat?,The new formula for filling staff positions in the Secretariat is one of a number of recommendations made by a panel of eight in a long and detailed report .
What is United Nations?,The report was completed after nearly eighteen months of work on the question of the organization of the United Nations .
What is Formula?,Formula is due this week
What is Advisory Committee?,The Advisory Committee on Administrative and Budgetary Questions is expected to receive the report this week .
What is Administrative?,The Advisory Committee on Administrative and Budgetary Questions is expected to receive the report this week .
Who is Budgetary Questions?,The Advisory Committee on Administrative and Budgetary Questions is expected to receive the report this week .
What is Geneva?,"Geneva , June 18"
Who is Laos?,-- The three leaders of Laos agreed today to begin negotiations tomorrow on forming a coalition government that would unite the war-ridden kingdom .
What is Zurich?,"The decision was made in Zurich by Prince Boun Oum , Premier of the pro-Western royal Government ; ;"
What is Prince Boun Oum?,"The decision was made in Zurich by Prince Boun Oum , Premier of the pro-Western royal Government ; ;"
What is Prince?,"Prince Souvanna Phouma , leader of the nation's neutralists and recognized as Premier by the Communist bloc , and Prince Souphanouvong , head of the pro-Communist Pathet Lao forces ."
Who is Souvanna Phouma?,"Prince Souvanna Phouma , leader of the nation's neutralists and recognized as Premier by the Communist bloc , and Prince Souphanouvong , head of the pro-Communist Pathet Lao forces ."
What is Communist?,"Prince Souvanna Phouma , leader of the nation's neutralists and recognized as Premier by the Communist bloc , and Prince Souphanouvong , head of the pro-Communist Pathet Lao forces ."
What is Prince Souphanouvong?,"Prince Souvanna Phouma , leader of the nation's neutralists and recognized as Premier by the Communist bloc , and Prince Souphanouvong , head of the pro-Communist Pathet Lao forces ."
Who is Pathet Lao?,"Prince Souvanna Phouma , leader of the nation's neutralists and recognized as Premier by the Communist bloc , and Prince Souphanouvong , head of the pro-Communist Pathet Lao forces ."
What is Laos?,Their joint statement was welcomed by the Western delegations who will attend tomorrow the nineteenth plenary session of the fourteen-nation conference on the future of Laos .
What is Princes?,"An agreement among the Princes on a coalition government would ease their task , diplomats conceded ."
What is Geneva?,Tactics studied in Geneva
Who is Averell Harriman?,"W. Averell Harriman of the United States , Malcolm MacDonald of Britain , Maurice Couve De Murville , France's Foreign Minister , and Howard C. Green , Canada's Minister of External Affairs , concluded , meanwhile , a round of consultations here on future tactics in the conference ."
What is United States?,"W. Averell Harriman of the United States , Malcolm MacDonald of Britain , Maurice Couve De Murville , France's Foreign Minister , and Howard C. Green , Canada's Minister of External Affairs , concluded , meanwhile , a round of consultations here on future tactics in the conference ."
Who is Malcolm MacDonald?,"W. Averell Harriman of the United States , Malcolm MacDonald of Britain , Maurice Couve De Murville , France's Foreign Minister , and Howard C. Green , Canada's Minister of External Affairs , concluded , meanwhile , a round of consultations here on future tactics in the conference ."
What is Britain?,"W. Averell Harriman of the United States , Malcolm MacDonald of Britain , Maurice Couve De Murville , France's Foreign Minister , and Howard C. Green , Canada's Minister of External Affairs , concluded , meanwhile , a round of consultations here on future tactics in the conference ."
Who is Maurice Couve De Murville?,"W. Averell Harriman of the United States , Malcolm MacDonald of Britain , Maurice Couve De Murville , France's Foreign Minister , and Howard C. Green , Canada's Minister of External Affairs , concluded , meanwhile , a round of consultations here on future tactics in the conference ."
What is France?,"W. Averell Harriman of the United States , Malcolm MacDonald of Britain , Maurice Couve De Murville , France's Foreign Minister , and Howard C. Green , Canada's Minister of External Affairs , concluded , meanwhile , a round of consultations here on future tactics in the conference ."
Who is Howard C. Green?,"W. Averell Harriman of the United States , Malcolm MacDonald of Britain , Maurice Couve De Murville , France's Foreign Minister , and Howard C. Green , Canada's Minister of External Affairs , concluded , meanwhile , a round of consultations here on future tactics in the conference ."
What is Canada?,"W. Averell Harriman of the United States , Malcolm MacDonald of Britain , Maurice Couve De Murville , France's Foreign Minister , and Howard C. Green , Canada's Minister of External Affairs , concluded , meanwhile , a round of consultations here on future tactics in the conference ."
What is External Affairs?,"W. Averell Harriman of the United States , Malcolm MacDonald of Britain , Maurice Couve De Murville , France's Foreign Minister , and Howard C. Green , Canada's Minister of External Affairs , concluded , meanwhile , a round of consultations here on future tactics in the conference ."
What is Princess?,"Princess Moune , Prince Souvanna Phouma's young daughter , read the Princes' statement ."
What is Moune?,"Princess Moune , Prince Souvanna Phouma's young daughter , read the Princes' statement ."
Who is Prince Souvanna Phouma?,"Princess Moune , Prince Souvanna Phouma's young daughter , read the Princes' statement ."
What is Princes?,"Princess Moune , Prince Souvanna Phouma's young daughter , read the Princes' statement ."
What is Princess?,The Princess said it was too early to say what would be decided if no agreement was reached after three days .
What is Zurich?,"The meetings in Zurich , the statement said , would deal only with principles that would guide the three factors in their search for a coalition Government ."
Who is William S. Pfaff Jr.?,"Appointment of William S. Pfaff Jr. , 41 , as promotion manager of The Times-Picayune Publishing Company was announced Saturday by John F. Tims , president of the company ."
Who is John F. Tims?,"Appointment of William S. Pfaff Jr. , 41 , as promotion manager of The Times-Picayune Publishing Company was announced Saturday by John F. Tims , president of the company ."
What is Pfaff?,"Pfaff succeeds Martin Burke , who resigned ."
Who is Martin Burke?,"Pfaff succeeds Martin Burke , who resigned ."
What is New Orleans?,"He is a native of New Orleans and attended Allen Elementary school , Fortier High school and Soule business college ."
Who is Allen Elementary?,"He is a native of New Orleans and attended Allen Elementary school , Fortier High school and Soule business college ."
What is Fortier High?,"He is a native of New Orleans and attended Allen Elementary school , Fortier High school and Soule business college ."
What is Soule?,"He is a native of New Orleans and attended Allen Elementary school , Fortier High school and Soule business college ."
Who is Pfaff?,"From June , 1942 , until December , 1945 , Pfaff served in the Army Air Corps ."
What is Army Air Corps?,"From June , 1942 , until December , 1945 , Pfaff served in the Army Air Corps ."
What is Scott Field?,"While in the service he attended radio school at Scott Field in Belleville , Ill. ."
What is Belleville?,"While in the service he attended radio school at Scott Field in Belleville , Ill. ."
Who is Pfaff?,"Before entering the service , Pfaff for five years did clerical work with a general merchandising and wholesale firm in New Orleans ."
What is Audrey Knecht?,"He is married to the former Audrey Knecht and has a daughter , Karol , 13 ."
Who is Karol?,"He is married to the former Audrey Knecht and has a daughter , Karol , 13 ."
Who is Miles?,They reside at 4911 Miles Dr. .
What is Capitol?,-- Thousands of bleacher-type seats are being erected along Pennsylvania Avenue between the Capitol and the White House for the big inaugural parade on Jan. 20 .
Who is John F. Kennedy?,"Assuming the weather is halfway decent that day , hundreds of thousands of persons will mass along this thoroughfare as President John F. Kennedy and retiring President Dwight D. Eisenhower leave Capitol Hill following the oath-taking ceremonies and ride down this historic ceremonial route ."
Who is Dwight D. Eisenhower?,"Assuming the weather is halfway decent that day , hundreds of thousands of persons will mass along this thoroughfare as President John F. Kennedy and retiring President Dwight D. Eisenhower leave Capitol Hill following the oath-taking ceremonies and ride down this historic ceremonial route ."
Who is Capitol Hill?,"Assuming the weather is halfway decent that day , hundreds of thousands of persons will mass along this thoroughfare as President John F. Kennedy and retiring President Dwight D. Eisenhower leave Capitol Hill following the oath-taking ceremonies and ride down this historic ceremonial route ."
What is Pennsylvania?,"Pennsylvania Avenue , named for one of the original 13 states , perhaps is not the most impressive street in the District of Columbia from a commercial standpoint ."
What is Avenue?,"Pennsylvania Avenue , named for one of the original 13 states , perhaps is not the most impressive street in the District of Columbia from a commercial standpoint ."
What is District?,"Pennsylvania Avenue , named for one of the original 13 states , perhaps is not the most impressive street in the District of Columbia from a commercial standpoint ."
What is Columbia?,"Pennsylvania Avenue , named for one of the original 13 states , perhaps is not the most impressive street in the District of Columbia from a commercial standpoint ."
What is United States?,"Within view of the avenue are some of the United States government's tremendous buildings , plus shrines and monuments ."
What is Pennsylvania?,"Of course , 1600 Pennsylvania , the White House , is the most famous address of the free world ."
Who is Capitol Hill?,"Within an easy walk from Capitol Hill where Pennsylvania Avenue comes together with Constitution Avenue , begins a series of great federal buildings , some a block long and all about seven-stories high ."
What is Constitution Avenue?,"Within an easy walk from Capitol Hill where Pennsylvania Avenue comes together with Constitution Avenue , begins a series of great federal buildings , some a block long and all about seven-stories high ."
What is Great?,"Great chapters of history have been recorded along the avenue , now about 169 years old ."
What is National Archives?,Along this avenue which saw marching soldiers from the War Between the States returning in 1865 is the National Archives building where hundreds of thousands of this country's most valuable records are kept .
What is Street?,"Street car tracks run down the center of Pennsylvania , powered with lines that are underground ."
What is Pennsylvania?,"Street car tracks run down the center of Pennsylvania , powered with lines that are underground ."
Who is Lafayette Square?,"Many spectators will be occupying seats and vantage points bordering Lafayette Square , opposite the White House ."
Who is Andrew Jackson?,"In this historic square are several statues , but the one that stands out over the others is that of Gen. Andrew Jackson , hero of the Battle of New Orleans ."
What is Battle?,"In this historic square are several statues , but the one that stands out over the others is that of Gen. Andrew Jackson , hero of the Battle of New Orleans ."
What is New Orleans?,"In this historic square are several statues , but the one that stands out over the others is that of Gen. Andrew Jackson , hero of the Battle of New Orleans ."
Who is Lafayette Square?,Moving past the presidential viewing stand and Lafayette Square will be at least 40 marching units .
What is Massachusetts?,"Division two will include the representations of Massachusetts and Texas , the respective states of the President and of Vice-President L. B. Johnson ."
What is Texas?,"Division two will include the representations of Massachusetts and Texas , the respective states of the President and of Vice-President L. B. Johnson ."
Who is Johnson?,"Division two will include the representations of Massachusetts and Texas , the respective states of the President and of Vice-President L. B. Johnson ."
What is Marines?,Division three will be headed by the Marines followed by 12 states ; ;
What is Navy?,"division four will be headed by the Navy , followed by 11 states ; ;"
What is Coast Guard?,"Division six will be headed by the Coast Guard , followed by the reserve forces of all services , five states , Puerto Rico , the Virgin Islands , Guam , American Samoa , the trust territories and the Canal Zone ."
Who is Puerto Rico?,"Division six will be headed by the Coast Guard , followed by the reserve forces of all services , five states , Puerto Rico , the Virgin Islands , Guam , American Samoa , the trust territories and the Canal Zone ."
What is Virgin Islands?,"Division six will be headed by the Coast Guard , followed by the reserve forces of all services , five states , Puerto Rico , the Virgin Islands , Guam , American Samoa , the trust territories and the Canal Zone ."
Who is Guam?,"Division six will be headed by the Coast Guard , followed by the reserve forces of all services , five states , Puerto Rico , the Virgin Islands , Guam , American Samoa , the trust territories and the Canal Zone ."
What is American Samoa?,"Division six will be headed by the Coast Guard , followed by the reserve forces of all services , five states , Puerto Rico , the Virgin Islands , Guam , American Samoa , the trust territories and the Canal Zone ."
What is Canal Zone?,"Division six will be headed by the Coast Guard , followed by the reserve forces of all services , five states , Puerto Rico , the Virgin Islands , Guam , American Samoa , the trust territories and the Canal Zone ."
Who is Jackson?,"Jackson , Miss."
What is Miss?,"Jackson , Miss."
What is Mississippi?,-- What does 1961 offer in political and governmental developments in Mississippi ? ?
Who is Ross Barnett?,This is largely because of the unpredictability of the man who operates the helm of the state government and is the elected leader of its two million inhabitants -- Gov. Ross Barnett .
Who is Barnett?,"Barnett , who came into office with no previous experience in public administration , has surrounded himself with confusion which not only keeps his foes guessing but his friends as well ."
Who is Barnett?,"Consequently , it is uncertain after nearly 12 months in office just which direction the Barnett administration will take in the coming year ."
What is Barnett?,The builtin headache of the Barnett regime thus far has been the steady stream of job-seekers and others who feel they were given commitments by Barnett at some stage of his eight-year quest for the governor's office .
Who is Barnett?,The builtin headache of the Barnett regime thus far has been the steady stream of job-seekers and others who feel they were given commitments by Barnett at some stage of his eight-year quest for the governor's office .
Who is Barnett?,"There are many who predict that should Barnett decide to call the Legislature back into special session , it will really throw his administration into a scramble ."
What is Legislature?,"There are many who predict that should Barnett decide to call the Legislature back into special session , it will really throw his administration into a scramble ."
Who is Barnett?,Certainly nobody will predict that the next time the lawmakers come back together Barnett will be able to enjoy a re-enactment of the strange but successful `` honeymoon '' he had in the 1960 legislative session .
Who is Barnett?,"If Barnett doesn't call a special session in 1961 , it will be the first year in the last decade that the Legislature has not met in regular or special session ."
What is Legislature?,"If Barnett doesn't call a special session in 1961 , it will be the first year in the last decade that the Legislature has not met in regular or special session ."
Who is Barnett?,Barnett is not expected to be able to withstand the pressure .
What is Delta?,"With eyes focused on the third congressional district , the historic Delta district , and Congressman Frank E. Smith as the one most likely to go , the redistricting battle will put to a test the longstanding power which lawmakers from the Delta have held in the Legislature ."
What is Congressman Frank?,"With eyes focused on the third congressional district , the historic Delta district , and Congressman Frank E. Smith as the one most likely to go , the redistricting battle will put to a test the longstanding power which lawmakers from the Delta have held in the Legislature ."
What is Legislature?,"With eyes focused on the third congressional district , the historic Delta district , and Congressman Frank E. Smith as the one most likely to go , the redistricting battle will put to a test the longstanding power which lawmakers from the Delta have held in the Legislature ."
What is Mississippi?,"Mississippi's relations with the national Democratic party will be at a crossroads during 1961 , with the first Democratic president in eight years in the White House ."
What is Democratic?,"Mississippi's relations with the national Democratic party will be at a crossroads during 1961 , with the first Democratic president in eight years in the White House ."
Who is Split?,"Split badly during the recent presidential election into almost equally divided camps of party loyalists and independents , the Democratic party in Mississippi is currently a wreck ."
What is Democratic?,"Split badly during the recent presidential election into almost equally divided camps of party loyalists and independents , the Democratic party in Mississippi is currently a wreck ."
What is Mississippi?,"Split badly during the recent presidential election into almost equally divided camps of party loyalists and independents , the Democratic party in Mississippi is currently a wreck ."
Who is Future?,Future clouded
Who is Barnett?,"Barnett , as the titular head of the Democratic party , apparently must make the move to reestablish relations with the national Democratic party or see a movement come from the loyalist ranks to completely bypass him as a party functionary ."
What is Democratic?,"Barnett , as the titular head of the Democratic party , apparently must make the move to reestablish relations with the national Democratic party or see a movement come from the loyalist ranks to completely bypass him as a party functionary ."
What is Democratic?,"With a Democratic administration , party patronage would normally begin to flow to Mississippi if it had held its Democratic solidarity in the November election ."
What is Mississippi?,"With a Democratic administration , party patronage would normally begin to flow to Mississippi if it had held its Democratic solidarity in the November election ."
What is US Sens?,"Now , the picture is clouded , and even US Sens. James O. Eastland and John C. Stennis , who remained loyal to the ticket , are uncertain of their status ."
Who is James O. Eastland?,"Now , the picture is clouded , and even US Sens. James O. Eastland and John C. Stennis , who remained loyal to the ticket , are uncertain of their status ."
